product_key,category,subcategory,product_name,ratings
10000617,Technology,Accessories,First Data FD10 PIN Pad,4.19
10000142,Office Supplies,Storage,Safco Industrial Wire Shelving,3.48
10003784,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",4.31
10002148,Office Supplies,Appliances,Belkin 6 Outlet Metallic Surge Strip,3.78
10001740,Office Supplies,Storage,Mobile Personal File Cube,4.04
10002555,Office Supplies,Paper,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",3.66
10000618,Technology,Accessories,Sony 16GB Class 10 Micro SDHC R40 Memory Card,3.73
10004751,Office Supplies,Supplies,Acme Office Executive Series Stainless Steel Trimmers,4.11
10004113,Office Supplies,Binders,Recycled Easel Ring Binders,3.47
10001315,Office Supplies,Binders,"Acco Four Pocket Poly Ring Binder with Label Holder, Smoke, 1""",3.72
10003243,Office Supplies,Storage,Woodgrain Magazine Files by Perma,3.03
10002093,Office Supplies,Binders,Ibico Presentation Index for Binding Systems,3.23
10003464,Office Supplies,Paper,EcoTones Memo Sheets,4.12
10003719,Furniture,Chairs,"Padded Folding Chairs, Black, 4/Carton",3.82
10000069,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.15
10002725,Office Supplies,Storage,Economy Rollaway Files,3.63
10001538,Office Supplies,Fasteners,Advantus Push Pins,3.8
10002330,Office Supplies,Binders,GBC ProClick 150 Presentation Binding System,4.13
10003747,Office Supplies,Paper,Xerox 19,3.97
10004736,Office Supplies,Art,4009 Highlighters,3.44
10003609,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",4.23
10004020,Office Supplies,Paper,Xerox 216,4.12
10000994,Office Supplies,Storage,"Tennsco Lockers, Gray",2.79
10000518,Furniture,Chairs,"Situations Contoured Folding Chairs, 4/Set",3.99
10004520,Office Supplies,Supplies,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",4.11
10000346,Office Supplies,Art,"Dixon Prang Watercolor Pencils, 10-Color Set with Brush",3.83
10000621,Office Supplies,Envelopes,Airmail Envelopes,4.03
10000106,Office Supplies,Art,Newell Chalk Holder,3.56
10003904,Office Supplies,Binders,"GBC Laser Imprintable Binding System Covers, Desert Sand",4.24
10000827,Technology,Phones,Gear Head AU3700S Headset,4.48
10003155,Office Supplies,Storage,Fellowes Staxonsteel Drawer Files,3.21
10002689,Furniture,Tables,Safco Drafting Table,4.42
10000851,Office Supplies,Paper,Xerox 202,4.17
10003501,Office Supplies,Binders,Ibico Ibimaster 300 Manual Binding System,4.14
10004349,Technology,Phones,Avaya 5410 Digital phone,3.9
10002970,Office Supplies,Binders,GBC Twin Loop Wire Binding Elements,3.3
10000066,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",2.9
10001619,Technology,Phones,Motorola Moto X,3.85
10000686,Technology,Accessories,Logitech Illuminated - Keyboard,3.25
10000496,Office Supplies,Storage,Advantus Rolling Storage Box,3.73
10004819,Technology,Accessories,Sony 8GB Class 10 Micro SDHC R40 Memory Card,3.77
10003261,Office Supplies,Art,"Sanford EarthWrite Recycled Pencils, Medium Soft, #2",3.6
10000385,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",2.99
10004853,Furniture,Chairs,"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",4.21
10003726,Furniture,Chairs,Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,3.98
10002450,Technology,Machines,Fellowes Powershred HS-440 4-Sheet High Security Shredder,2.19
10001983,Office Supplies,Labels,Avery 52,3.55
10001024,Office Supplies,Paper,Xerox 223,3.73
10002221,Office Supplies,Fasteners,Rubber Band Ball,2.63
10004145,Office Supplies,Binders,Zipper Ring Binder Pockets,3.87
10000083,Office Supplies,Storage,Safco Industrial Wire Shelving,3.45
10004667,Furniture,Furnishings,"Executive Impressions 16-1/2"" Circular Wall Clock",3.25
10002027,Office Supplies,Envelopes,Fashion Color Clasp Envelopes,3.29
10003336,Furniture,Tables,Bush Advantage Collection Racetrack Conference Table,3.83
10001919,Technology,Accessories,Logitech G19 Programmable Gaming Keyboard,4.13
10001675,Office Supplies,Binders,GBC Imprintable Covers,3.79
10003732,Technology,Phones,Cisco SPA 502G IP Phone,3.78
10002404,Office Supplies,Binders,Insertable Tab Post Binder Dividers,3.53
10001117,Technology,Phones,Wilson SignalBoost 841262 DB PRO Amplifier Kit,3.4
10000640,Furniture,Furnishings,"Howard Miller 13-1/2"" Diameter Rosebrook Wall Clock",3.17
10003491,Office Supplies,Binders,GBC VeloBinder Strips,4.38
10001880,Furniture,Tables,Hon Non-Folding Utility Tables,3.49
10002859,Office Supplies,Art,Prang Drawing Pencil Set,4.07
10001112,Technology,Phones,Mitel MiVoice 5330e IP Phone,3.74
10001105,Furniture,Tables,Hon Non-Folding Utility Tables,4.2
10000070,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",3.36
10000639,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 10/Pack",3.82
10003227,Office Supplies,Appliances,Tripp Lite TLP810NET Broadband Surge for Modem/Fax,4.18
10000736,Office Supplies,Binders,Avery Durable Binders,4.42
10001750,Office Supplies,Appliances,Acco 6 Outlet Guardian Basic Surge Suppressor,3.75
10000768,Technology,Machines,Zebra GX420t Direct Thermal/Thermal Transfer Printer,3.73
10001240,Office Supplies,Supplies,Martin-Yale Premier Letter Opener,4.16
10000616,Technology,Phones,AT&T TR1909W,4.38
10000133,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",3.89
10004494,Office Supplies,Storage,Standard Rollaway File with Lock,3.76
10004619,Furniture,Furnishings,"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",3.75
10003020,Furniture,Tables,Balt Solid Wood Rectangular Table,4.16
10002640,Office Supplies,Paper,Xerox 232,3.17
10000544,Office Supplies,Paper,Personal Creations Ink Jet Cards and Labels,3.43
10000369,Office Supplies,Binders,"Square Ring Data Binders, Rigid 75 Pt. Covers, 11"" x 14-7/8""",4.0
10003669,Office Supplies,Paper,Xerox 203,3.55
10002334,Office Supplies,Binders,GBC ProClick Punch Binding System,3.81
10002343,Office Supplies,Paper,Xerox 1980,4.37
10003210,Furniture,Furnishings,"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",4.29
10004050,Furniture,Chairs,Global Troy Executive Leather Low-Back Tilter,3.57
10001853,Furniture,Tables,Balt Solid Wood Round Tables,3.27
10004324,Technology,Phones,Samsung HM1900 Bluetooth Headset,3.45
10003267,Furniture,Chairs,Hon 4070 Series Pagoda Round Back Stacking Chairs,4.15
